Municipality,Municipal Status,County / Region,Has DC Bylaw,Farm Building Exemption,Worker Housing DC Treatment,Worker Housing Mechanism,Operative Wording (Excerpt),DC Bylaw Name,DC Bylaw Link
Morley,Single Tier,Rainy River,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Morris-Turnberry,Lower Tier,Huron,No,No,No DC Bylaw,Municipality does not levy Development Charges,No development charges bylaw in place; therefore no farm exemption applicable.,,—
Mulmur,Lower Tier,Dufferin,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"8. EXEMPT BUILDINGS 8.1 Non-residential buildings used accessory to an agricultural operation shall be exempt from the development charge,",BY-LAW NO. 25-2024,https://mulmur.ca/content/build/development-charges/2024-development-charges-by-law.pdf
Muskoka,Upper Tier,Muskoka,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"8. Exemptions Subject to section 9 herein, the following types of development shall be exempt from payment of development charges: (a) the development of a non-residential farm building or structure; where ""farm building"" means buildings or structures used to carry on a bona fide farming operation including barns, silos and other ancillary development to an agricultural use, but excluding cannabis production facilities and those buildings or structures used for residential purposes;",BY-LAW NO. 2024-34,https://www.muskoka.on.ca/en/finance-and-administration/development-fees-and-charges.aspx
Muskoka Lakes,Lower Tier,Muskoka,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,"10. In the case of the demolition of all or part of a residential building, a non— residential building or a farm building or structure: 10.1. no development charge shall be imposed if a building that has been destroyed or legally demolished is rebuilt within three years of the destructionor demolition. If a different type of building is constructed, a credit equal to the development charge that would have been imposed on the original building if it were constructed elsewhere in the neighbourhoo",By-law 2024-055,https://www.muskokalakes.ca/business-property-development/building-demolition-and-construction/
Nairn and Hyman,Single Tier,Sudbury,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Neebing,Single Tier,Thunder Bay,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
New Tecumseth,Lower Tier,Simcoe,Yes,Yes,Silent - Dwelling Excluded,Agricultural use exemption explicitly excludes portions used as dwelling units; worker housing would not qualify,"4. Applicable Lands (3) This by-law shall not apply to land that is owned by and used for the purposes of: (e) agricultural uses, where "" agricultural use"" means lands, buildings or structures, excluding any portion thereof used as a dwelling unit, used or designed or intended for use for the purpose of a bona fide farming operation including, but not limited to, animal husbandry, dairying, livestock, fallow, field crops, removal of sod, forestry, fruit farming, horticulture, market gardening, p",By-law #2021-166,https://www.newtecumseth.ca/en/resources/Finance/Development-Charges/Development-Charge-Brochure---Jul-01-2024.pdf
Newbury,Lower Tier,Middlesex,No,Not Known,No DC Bylaw,Municipality does not levy Development Charges,,,—
Newmarket,Lower Tier,York,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"Section 3.5(g) of By-law 2019-48: ""agricultural uses"" are exempt from development charges. ""Farm building"" defined as part of a bona fide farming operation encompassing barns, silos and other ancillary development to an agricultural use, excluding residential use.","By-laws 2019-46, 2019-47, 2019-48 (amended by 2022-34, extended to 2029)",https://www.newmarket.ca/en/townhall/development-charges.aspx
Niagara,Upper Tier,Niagara,Yes,Yes,Exempt - On-Farm Accommodation,On-farm site farm accommodations explicitly exempted for agricultural use,"DISCRETIONARY EXEMPTIONS 19. Notwithstanding any other provision of this By-law, no development charge is imposed under this By-law respecting: (a) non-residential lands and buildings used for agricultural use; (b) on-farm site farm accommodations used for agricultural use; where “agricultural use” means use or intended use for bona fide farming purposes (a) including (but not limited to): (i) cultivation of crops, whether on open land or in greenhouses, including (but not limited to) fruit, veg",By-law 2022-48,https://www.niagararegion.ca/business/property/background-study.aspx
Niagara Falls,Lower Tier,Niagara,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"Agricultural buildings exempt from development charges. Exemption maintained following Niagara Region DC task force advocacy in 2022. Agricultural use defined per 2020 Provincial Policy Statement (crop growing, livestock raising, on-farm buildings and structures).",By-law 2024-053 (as amended),https://niagarafalls.ca/building-planning-and-business/planning-and-development/growth-charges-and-incentives/development-charges/
Niagara-on-the-Lake,Lower Tier,Niagara,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"Applicable Lands (2) This by-law shall not apply to land that is owned by and used for the purposes of (c) the development of a non-residential farm building used for bona fide agricultural purposes; where “farm building"" means that part of a bona fide farming operation encompassing barns, silos and other ancillary development to an agricultural use, but excluding a residential use;",By-law 5072-18 (as indexed),https://www.notl.com/town-hall/by-law-directory/development-charges-law-5072-18
Nipigon,Single Tier,Thunder Bay,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
Nipissing,Single Tier,Parry Sound,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Norfolk,Single Tier,Norfolk,Yes,Yes,Exempt - Farm Help Housing,Farm help house/quarters/accommodation explicitly included in exemption,5. Exemptions from Development Charges (5.2) iv) Farm help house development; v) Farming business development,By-law 2019-100 (as indexed),https://www.norfolkcounty.ca/council-administration-and-government/budget-fees-and-finances/development-charges/
North Algona Wilberforce,Lower Tier,Renfrew,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
North Bay,Single Tier,Nipissing,Yes,Yes,Silent - Unclassified,Farm building exemption exists but wording does not clearly address worker housing,"Applicable Lands 3. (2) This By-law shall not apply to land that is owned by and used for the purposes of: (g) Industrial Uses, where “Industrial Use” means a use considered a permitted use under Industrial Class 1, Industrial Class 2, Industrial Class 3, Wholesale or Transportation Terminal through the City’s Zoning By-law, By-law No. 2015-30, as amended;",By-Law No. 2019-72 (amended by 2024-69),https://northbay.ca/media/iffb3mtf/by-law-no-2024-69-amendment-to-by-law-2019-72-to-extend-expiry-date-final.pdf
North Dumfries,Lower Tier,Waterloo,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,Non-residential farm buildings for bona fide farming operations exempt from development charges. Standard Ontario agricultural DC exemption.,BY-LAW NUMBER 3088-19,https://www.northdumfries.ca/en/doing-business/resources/Documents/By-law-3088-19-Development-Charges.pdf
North Dundas,Lower Tier,"Stormont, Dundas and Glengarry",Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"4.0 Applicable Lands (4.2) (e) a non-residential farm building used for bona fide agricultural purposes; where ""Farm Building"" means a building or part thereof which does not contain a residential occupancy and which is associated with and located on land devoted to the practice of farming and used essentially for the housing of equipment or livestock, or the production, storage or processing of agricultural and horticultural produce or feeds and shall not include manure storage facilities, but ",By-law No. 2022-35,https://www.northdundas.com/sites/1/files/2022-05/Bylaw%20No.%202022-35%20Development%20Charges.pdf
North Frontenac,Lower Tier,Frontenac,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
North Glengarry,Lower Tier,"Stormont, Dundas and Glengarry",No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
North Grenville,Lower Tier,Leeds and Grenville,Yes,Yes,Silent - Unclassified,Farm building exemption exists but wording does not clearly address worker housing,Section 3(6): Agricultural buildings/structures (excluding farm dwellings) subject only to fire service portion of DC - partial exemption from full development charges.,By-law 52-21,https://www.northgrenville.ca/services-and-payments/municipal-services/building-permits-fees
North Huron,Lower Tier,Huron,No,Not Known,No DC Bylaw,Municipality does not levy Development Charges,4. No development charge under section 5 is payable where the development; (11) Is a bona fide non-residential farm building;,,https://www.northhuron.ca/
North Kawartha,Lower Tier,Peterborough,No,Yes,No DC Bylaw,Municipality does not levy Development Charges,,By-law 2021-0062,https://www.northkawartha.ca/living-here/building-department/
North Middlesex,Lower Tier,Middlesex,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,"Development shall be imposed on all lands, builidngs or structures that are developed for residential or non-residental uses if the development requires: i. The passing of a zoning bylaw ii. Approval of a minor variance iii. A conveyance of land iv.aproval of a plan of subdivision v. a consent vi. the approval of a description vii. The issuing of a permint in realation to the building or structure",BY-LAW NO. 041 of 2022 (amended by 112 of 2025),https://www.northmiddlesex.on.ca/sites/default/files/2025-12/112%20of%202025%20-%20Development%20Charges%202026.pdf
North Perth,Lower Tier,Perth,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: Agricultural uses as well as farm buildings and other ancillary development to an agricultural use excluding any residential, commercial or cannabis production facilities uses shall be exempt from the provisions of this By-law.",By-law No. 74-2024,https://www.northperth.ca/media/ysgluhd0/74-2024-development-charges-for-the-municipality-of-north-perth.pdf
North Stormont,Lower Tier,"Stormont, Dundas and Glengarry",No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Northeastern Manitoulin & The Isl,Single Tier,Manitoulin,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
Northern Bruce Peninsula,Lower Tier,Bruce,No,N/A,No DC Bylaw,Municipality does not levy Development Charges,,,—
Northumberland,Upper Tier,Northumberland,No,Not Known,No DC Bylaw,Municipality does not levy Development Charges,Farm buildings exempt per standard Ontario county DC practice.,,https://www.northumberland.ca/DevelopmentCharges
Norwich,Lower Tier,Oxford,Yes,Yes,Exempt - Bunkhouse Included,Farm building definition excludes residential use but makes an explicit exception for bunkhouses for seasonal farm workers,"3. APPLICABLE LANDS (3) This by-law shall not apply to: (a) Farm Buildings as defined herein; where “Farm Building” means a Building or structure associated with and located on land devoted to the practice of farming and that is used essentially for the housing of farm equipment or livestock or the production, storage or processing of agricultural and horticultural produce or feeds and as part of or in connection with a bona fide farming operation and includes barns, silos and other buildings or",By-Law No. 32-2024 (amended by 37-2024),https://www.norwich.ca/media/0v4iwqz5/development-charges-pamphlet-june-13-2026.pdf
O'Connor,Single Tier,Thunder Bay,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Oakville,Lower Tier,Halton,Yes,Yes,Silent - Unclassified,Farm building exemption exists but wording does not clearly address worker housing,"EXEMPTIONS 7. (1) This By-law shall not apply to land that is owned by and used for the purposes of: (a) an agricultural development; where ""agricultural development"" means a bona fide farming operation (as evidenced by membership of the owner/operator of the farm operation in the Ontario Federation of Agriculture), including greenhouses which are not connected to Regional water services or wastewater services, sod farms and farms for the breeding and boarding of horses, and includes, but is not",By-law 2022-068,https://www.oakville.ca/town-hall/budget-finances/growth-infrastructure-financing-tools/development-charges/
Oil Springs,Lower Tier,Lambton,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Oliver Paipoonge,Single Tier,Thunder Bay,No,Yes,No DC Bylaw,Municipality does not levy Development Charges,,BY-LAW NO. 627-2021,https://oliverpaipoonge.ca/sites/default/files/2021-10/By-Law%20627-2021%20Development%20Charges.pdf
Opasatika,Single Tier,Cochrane,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Orangeville,Lower Tier,Dufferin,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,By-law 2024-039,https://www.orangeville.ca/en/doing-business/resources/Documents/Town%20of%20Orangeville%202024%20D.C.%20Background%20Study%20-%20Final%20Report.pdf
Orillia,Single Tier,Simcoe,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,By-law Number 2023-009 (amended by 2024-113),https://www.orillia.ca/media/14jhoa4s/dc-pamphlet-july-1-2026.pdf
Oro-Medonte,Lower Tier,Simcoe,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"Exemptions 3.3 This by-law shall not apply to lands that are owned by and used for the purposes of: e) farm buildings as defined herein; where ""Farm Building"" means a building or structure actually used as part of or in connection with a bona fide farming operation and includes barns, silos and other buildings or structures ancillary to a bona fide farming operation, but excluding a residential use and marijuana faciltiies.",By-law No. 2024-097,https://www.oro-medonte.ca/media/5k2bcjpx/dc-pamphlet-2025-final.pdf
Oshawa,Lower Tier,Durham,Yes,Yes,Silent - Unclassified,Farm building exemption exists but wording does not clearly address worker housing,"2. Application 2.5 No Development Charge shall be imposed with respect to any Development: (g) respecting an Agricultural building or structure; where “Agricultural”, in reference to use, means land, buildings or structures used, designed or intended to be used solely for an “agricultural operation” as that term is defined in section 1 of the Farming and Food Production Protection Act, 1998, S.O. 1998, c. 1;",By-law 91-2024,https://www.oshawa.ca/media/or3lhgew/development_charges_by-law_91-2024.pdf
Otonabee-South Monaghan,Lower Tier,Peterborough,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,Non-residential farm buildings exempt from development charges.,By-law 2020-60,https://www.osmtownship.ca/municipal-services/by-laws-policies/
Ottawa,Single Tier,Ottawa,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"7. (1) Subject to subsection (3), the following shall be exempt from development Charges: (g) Non-residential use buildings used for bona fide agricultural purposes, including buildings on a fairgrounds of an agricultural society",By-law 2024-218 (as amended),https://ottawa.ca/en/planning-development-and-construction/residential-property-regulations/development-application-review-process/development-application-submission/fees-and-funding-programs/development-charges/overview
Owen Sound,Lower Tier,Grey,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"Exempt Buildings 16. No Development Charge under Schedule B of this by-law are imposed with respect to: a. Non-residential buildings used accessory to an agricultural operation; where ""agricultural"" is not explicitly defined.",By-law No. 2020-112 (as amended),https://www.owensound.ca/media/o1uloljx/2023-development-charges-background-study.pdf
Oxford,Upper Tier,Oxford,Yes,Yes,Explicitly Excluded,Farm building definition explicitly excludes bunkhouses,"3. APPLICABLE LANDS (3) This by-law shall not apply to: (a) Farm Buildings as defined herein; where “Farm Building” means a Building or structure associated with and located on land devoted to the practice of farming, as defined by the Farming and Food Production Protection Act, 1998, and that is used essentially for the housing of farm equipment or livestock, or the production, storage or processing of agricultural and horticultural produce or feeds, and as part of or in connection with a bona ",By-law 6639-2024 (amended by 6709-2025),https://www.oxfordcounty.ca/your-government/financial-policy/development-charges-and-fees/
Papineau-Cameron,Single Tier,Nipissing,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Parry Sound,Single Tier,Parry Sound,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"3. APPLICABLE LANDS (b) This By-law shall not apply to land that is owned by and used for the purposes of: 5) a Non-residential Building in connection with a bona fide Agricultural use including, but excluding a residential use and cannabis production facilities;",By-laws 2023-7346 through 2023-7350,https://www.parrysound.ca/media/jkslp5pa/dc-pamphlet-effective-june-6-2025.pdf
Peel,Upper Tier,Peel,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"11. Exemptions (2) No development charge is imposed under this By-law in respect of land developed for an agriculture use including on-farm diversified use. where ""agricultural use"" means a use for the purpose of animal husbandry, dairying, fallow, field crops, removal of sod, forestry, fruit farming, horticulture, market gardening, pasturage, poultry keeping and any other use customarily carried on for the purposes of a bona fide farming operation, but does not include a residential use on land",By-law 77-2020 (as amended),https://peelregion.ca/about/finance/development-charges
Pelee,Single Tier,Essex,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Pelham,Lower Tier,Niagara,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"4. APPLICABLE LANDS (6) This by-law shall not apply to land that is owned by and used for the purposes of: g) a farm building, excluding residential use",By-law No. 83-2024,https://www.pelham.ca/media/rcfjevil/83-2024-dc-by-law.pdf
Pembroke,Single Tier,Renfrew,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,By-law No. 2021-26,https://www.pembroke.ca/media/zrepffel/development-charges-pamphlet-pembroke.pdf
Penetanguishene,Lower Tier,Simcoe,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"Agricultural uses, farm buildings, and other development ancillary to an agricultural use are exempt, excluding residential uses.",BY-LAW NO. 2024-34,https://www.penetanguishene.ca/media/3yqfu4oe/penetanguishene_notice-of-passage.pdf
Perry,Single Tier,Parry Sound,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Perth East,Lower Tier,Perth,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"Bona Fide Farm Uses= encompassing barns, silos and other ancillary Development to an agricultural use, but excluding a Residential Use;",By-law 59-2021,https://www.pertheast.ca/wp-content/uploads/2025/04/Perth-East_DC-Pamphlet_January-2025.pdf
Perth South,Lower Tier,Perth,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
"Perth, Co",Upper Tier,Perth,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,N/A#http://N/A
"Perth, T",Lower Tier,Lanark,Yes,Yes,Silent - Unclassified,Farm building exemption exists but wording does not clearly address worker housing,"3) development charges shall not be imposed with respect to: c) industrial buildings; where ""industrial"" means any building used for or in connection with a) manufacturing, producing, processing, storing, or distributing something and includes a greenhouse;",By-Law No. 4839,https://perth.civicweb.net/filepro/document/6287/2019-4839-Amended%202019%20Development%20Charge%20Study%20_%20By-law%20Update-19Nov2019.pdf
Petawawa,Lower Tier,Renfrew,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,3.11 Other Exemptions (b) The development of non-residential farm buildings constructed for bona-fide farm uses.,By-law 1435/21,https://www.petawawa.ca/en/doing-business/resources/Documents/By-law-1435-21-Development-Charges.pdf
"Peterborough, C",Single Tier,Peterborough,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"Other Exemptions 20. Notwithstanding the provisions of this By-law, development charges shall not be imposed with respect to: (e) a non-residential agricultural buildings or structures that are owned by and are used for the purposes of a bona fide farming operation.",By-Law Number 25-100,https://bylaws.peterborough.ca/bylaws/getFNDoc.do?class_id=20&document_id=14220
"Peterborough, Co",Upper Tier,Peterborough,Yes,Yes,Silent - Residential Excluded,Farm/agricultural exemption excludes residential use; worker housing would not qualify,"8. Exempt Buildings 8.1 The following Buildings are exempt from Development Charges: (f) Farm Buildings; where ""Farm Building"" means a Building or Structure actually used as part of or in connection with a bona fide farming operation and includes barns, silos, and other buildings or structures ancillary to a bona fide farming operation, but excluding a residential use. For greater clarity, a Farm Building does not include a commercial building, institutional building, or industrial building on a",By-law No. 2022-35,https://peterboroughcounty.civicweb.net/filepro/document/291647/Development%20Charges%20By-law%20No.%202022-35.pdf
Petrolia,Lower Tier,Lambton,No,Yes,No DC Bylaw,Municipality does not levy Development Charges,"Other Exemptions 3.11. Notwithstanding the provisions of this by-law, development charges shall not be imposed with respect to: b. The development of non-residential farm buildings constructed for bona fide farm uses, being that which operates with a valid Farm Business Registration Number and is assessed in the Farmland Realty Tax Class.",,—
Pickering,Lower Tier,Durham,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"PART I APPLICATION 1. (2) This By-law shall not apply to land that is owned by and used for the purposes of, (c) the development of a non-residential farm building used for bona fide agricultural purposes; where ""agricultural use"" means lands, buildings, or structures, excluding any portion thereofgricultural use"" means lands, buildings, or structures, excluding any portion thereof used as a dwelling unit or for a commercial use, used or designed or intended for use for the purpose of a bona fid",By-law No. 7953/22 (amended by 8199/25),https://www.pickering.ca/media/dsrg5d1s/development-charges-2024-2025.pdf
Pickle Lake,Single Tier,Kenora,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Plummer Additional,Single Tier,Algoma,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Plympton-Wyoming,Lower Tier,Lambton,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,By-Law 98 of 2021,https://www.plympton-wyoming.com/media/soxmdfgi/dc-by-law-98-of-2021.pdf
Point Edward,Lower Tier,Lambton,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Port Colborne,Lower Tier,Niagara,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"3.14 O Other Exemptions: Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: (1) Non-residential farm buildings for the purpose of an agricultural use except for any building constructed to accommodate an On-Farm Business which shall be considered to be an industrial building;",By-Law No. 6733/97/19 (amended by 7278/100/24),https://www.portcolborne.ca/en/business-and-development/resources/Building%20Division/By-Laws/7278%20100%2024.pdf
Port Hope,Lower Tier,Northumberland,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,3.11 Other Exemptions 2) The construction of a non-residential farm building or structure constructed for a bona fide farm operation.,By-law 63/2019 (amended by 62/2022),https://www.porthope.ca/en/business-and-development/resources/Development%20Charges/2024%20DC%20Background%20Study%20-%20Port%20Hope.pdf
Powassan,Single Tier,Parry Sound,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Prescott,Single Tier,Leeds and Grenville,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Prescott and Russell,Upper Tier,Prescott and Russell,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
Prince,Single Tier,Algoma,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Prince Edward County,Single Tier,Prince Edward,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,By-Law No. 35-2023,https://princeedwardcounty.civicweb.net/filepro/documents/278587/?preview=281624
Puslinch,Lower Tier,Wellington,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"3.10 Other Exemptions: Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: (d) Non-residential farm buildings used for agricultural purposes where “farm Building” means a building or structure associated with and located on land devoted to the practice of farming and that is used essentially for the housing of farm equipment or livestock or the growing, harvesting, or storage of agricultural and horticultural produce or feeds and as part of or ",By-law 053/24,https://puslinch.ca/wp-content/uploads/2024/09/DC-Information-Pamphlet-September-3RD-2024.pdf
Quinte West,Single Tier,Hastings,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,By-law 24-130 (amended by 26-046),https://quintewest.ca/building-renovating/development-charges/
Rainy River,Single Tier,Rainy River,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
Ramara,Lower Tier,Simcoe,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"3. APPLICABLE LANDS, BUILDINGS AND STRUCTURES 3.3 This by-law shall not apply to: c) a non-residential building used or designated or intended for use in connection with the production of crops, animal husbandry or other similar uses normally associated with agriculture;",By-Law 2022.39,https://www.ramara.ca/business-and-development/building-and-construction/building-permits/
Red Lake,Single Tier,Kenora,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Red Rock,Single Tier,Thunder Bay,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
"Renfrew, Co",Upper Tier,Renfrew,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
"Renfrew, T",Lower Tier,Renfrew,Yes,N/A,N/A,Not applicable,"""agricultural use"" and ""farm building"" is defined but not used. Confirm if farm exemption exists.",By-Law No. 84-2021,https://www.renfrew.ca/public_docs/bylaws/BL.84-2021.pdf
Richmond Hill,Lower Tier,York,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,"By-law defines ""agricultural use"" as bona fide farming operations including animal husbandry, dairying, livestock, field crops, forestry, fruit farming, horticulture, market gardening, and equestrian facilities (excluding dwelling units). However, there is no explicit exemption for farm buildings from development charges.",By-laws 6-24 through 10-24 (as amended),https://www.richmondhill.ca/en/shared-content/resources/documents/Development-Charges/2024_Development_Charges_Brochure.pdf
Rideau Lakes,Lower Tier,Leeds and Grenville,No,No,No DC Bylaw,Municipality does not levy Development Charges,"No full exemption. Ag uses receive 50% reduction in DC ($0.56/sqft vs $2.42/sqft). Ag use = buildings on land for farming (barns, silos, greenhouses). Excludes residential and retail/commercial.",,—
Russell,Lower Tier,Prescott and Russell,Yes,Yes,Silent (Presumed Not Exempt),Farm building exemption exists but operative wording not yet recorded; standard 'non-residential farm building' language presumed,,By-Law 2021-114,https://www.russell.ca/en/your-township/development-charges-by-law.aspx
Ryerson,Single Tier,Parry Sound,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
Sables-Spanish Rivers,Single Tier,Sudbury,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Sarnia,Lower Tier,Lambton,No,Yes,No DC Bylaw,Municipality does not levy Development Charges,"3.5. Notwithstanding the provisions of this by-law, and subject to the transition provisions of section 3.5.1, development charges shall not be imposed with respect to: 1) a non-residential farm building or structure on a property actively used for agricultural purposes in the rural zones as identified in the City's Zoning By-law;",,—
Saugeen Shores,Lower Tier,Bruce,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"4. APPLICABLE LANDS 2. e) non-residential farm building constructed for bona fide farm uses; where ""Bona Fide Farm Use"" means the proposed development will qualify as a farm business operating with a valid Farm Business Registration Number lssued by the Ontario Ministry of Agriculture, Food and Rural Affairs and be assessed in the Farmland Realty Tax Class by the Municipal Property Assessment Corporation;",By-law 61-2021,https://www.saugeenshores.ca/town-hall/applications-licences-and-permits/building-permits/
Sault Ste Marie,Single Tier,Algoma,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,
Schreiber,Single Tier,Thunder Bay,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Scugog,Lower Tier,Durham,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"Agricultural uses, farm buildings, and other ancillary development related to an agricultural use are exempt from development charges. This exemption does not extend to residential or commercial uses, or cannabis production facilities.",By-law 16-24,https://www.scugog.ca/building-development/planning-and-development/development-charges/
Seguin,Single Tier,Parry Sound,No,Yes,No DC Bylaw,Municipality does not levy Development Charges,"Notwithstanding the provisions of this by-law, development charges shall not be imposed under this by-law respecting: (a) the development of a non-residential farm building used for a bona fide farm use;",By-law 2021-053,https://www.seguin.ca/building
Selwyn,Lower Tier,Peterborough,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"Other Exemptions 3.11 Notwithstanding any provision of this by-law, development charges shall not be imposed with respect to: (d) Non-residential farm buildings; where “Farm building” means that part of a bona fide farming operation encompassing barns, silos and other ancillary development to an agricultural use, but excluding a residential use;",By-law 2023-053 through 2023-060,https://www.selwyntownship.ca/en/news/resources/Development-Charges/2023-053---Development-Charges---Road-and-Related.pdf
