Municipality,Municipal Status,County / Region,Has DC Bylaw,Farm Building Exemption,Worker Housing DC Treatment,Worker Housing Mechanism,Operative Wording (Excerpt),DC Bylaw Name,DC Bylaw Link
Burk's Falls,Single Tier,Parry Sound,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Burlington,Lower Tier,Halton,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,1. e. (g) agricultural uses.,By-law 41-2024,https://www.burlington.ca/en/by-laws-and-animal-services/resources/By-laws/By-law-Search/2024-By-laws/041-2024-By-law.pdf
Burpee and Mills,Single Tier,Manitoulin,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Caledon,Lower Tier,Peel,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"Non-residential agricultural buildings or structures are exempt. Also exempts: secondary portable dwellings on agricultural properties, on-farm wedding venues, country inns, buildings for agricultural tourism, farm-based home industries, farm cideries/wineries, garden suites, and on-farm diversified use buildings or structures. Must have valid Farm Business Registration Number and be assessed in Farmland Realty Tax Class.",By-laws 2024-042 and 2024-043,https://www.caledon.ca/en/town-services/development-charges.aspx
Callander,Single Tier,Parry Sound,Yes,Not Known,Unknown,Exemption status not yet verified,Farm exemption status not confirmed from available sources. Review of full By-law 2020-1641 text required.,By-law 2020-1641,https://www.mycallander.ca/en/doing-business/development-charges.aspx
Calvin,Single Tier,Nipissing,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Cambridge,Lower Tier,Waterloo,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,Non-residential farm buildings are exempt from development charges. Farm related structures are also exempt.,By-laws 24-038 to 24-042 (as amended),https://www.cambridge.ca/en/build-invest-grow/development-charges.aspx
Carleton Place,Lower Tier,Lanark,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,By-law No. 09-2025,https://carletonplace.ca/wp-content/uploads/2025/04/Development-Charges-Bylaw-Pamphlet-Final.pdf
Carling,Single Tier,Parry Sound,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Carlow-Mayo,Lower Tier,Hastings,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Casey,Single Tier,Timiskaming,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Casselman,Lower Tier,Prescott and Russell,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,3. Applicable Lands (g) Other Exemptions; i. The development of a non-residential farm building used for Bona Fide Farm Uses,By-laws 2023-032 & 2023-033 (amended by 2024-37),https://www.casselman.ca/en/citizen-services/construction-and-planning/development-charges
Cavan Monaghan,Lower Tier,Peterborough,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,3.10 Other Exemptions c) the development of non-residential farm buildings constructed for bona fide farm uses.,By-law Number 2022-43,https://www.cavanmonaghan.net/media/zhbeeemg/by-law-no-2022-43-development-charges.pdf
Central Elgin,Lower Tier,Elgin,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,Section 3 Subsection (2) d) (2) This by-law shall not apply to land that is owned by and used for the purposes of : c) non-residential farm buildings constructed for bona fide farm uses,BY-LAW 2556 Development Charges By-law,https://www.centralelgin.org/en/building-and-development/Development-Charges/Development-Brochure-May-2023.pdf
Central Frontenac,Lower Tier,Frontenac,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Central Huron,Lower Tier,Huron,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Central Manitoulin,Single Tier,Manitoulin,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Centre Hastings,Lower Tier,Hastings,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,Farm buildings exempt from development charges per standard Ontario practice.,By-law 2020-67,https://www.centrehastings.com/en/build-invest-grow/development-charges.aspx
Centre Wellington,Lower Tier,Wellington,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"b) Non-residential farm buildings constructed for bona fide farm uses; d) Silos for used for industrial, commercial and/or institutional uses; and",By-law 2026-15 (Replaces 2021-11),https://www.centrewellington.ca/township-services/development-charges/
Chamberlain,Single Tier,Timiskaming,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Champlain,Lower Tier,Prescott and Russell,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Chapleau,Single Tier,Sudbury,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Chapple,Single Tier,Rainy River,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Charlton-Dack,Single Tier,Timiskaming,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Chatham-Kent,Single Tier,Chatham-Kent,Yes,Yes,Explicitly Excluded,Bunkhouses/worker housing explicitly excluded from farm building DC exemption,"3.8 Other Exemptions: (a) (x) Farm buildings, excluding on-farm bunk houses and greenhouses, where “farm building” means that part of a bona fide farming operation encompassing barns, silos and other ancillary development to an agricultural use, but excluding a residential use.",By-Law Number 149-2022,https://www.chatham-kent.ca/business/developmentcharges/Pages/Municipal-Building-Development-Charges.aspx
Chatsworth,Lower Tier,Grey,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Chisholm,Single Tier,Nipissing,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
