munid,municipality_name,tier
12054,WOLLASTON TP,lower_single
32042,WOODSTOCK C,lower_single
30029,WOOLWICH TP,lower_single
32027,ZORRA TP,lower_single
41000,BRUCE,upper
56000,COCHRANE,upper
18000,DURHAM,upper
34000,ELGIN,upper
37000,ESSEX,upper
10000,FRONTENAC,upper
42000,GREY,upper
24000,HALTON,upper
12000,HASTINGS,upper
40000,HURON,upper
60000,KENORA,upper
38000,LAMBTON,upper
9000,LANARK,upper
7000,LEEDS AND GRENVILLE,upper
44000,MUSKOKA,upper
26000,NIAGARA,upper
48000,NIPISSING,upper
14000,NORTHUMBERLAND,upper
32000,OXFORD,upper
49000,PARRY SOUND,upper
21000,PEEL,upper
31000,PERTH,upper
15000,PETERBOROUGH,upper
2000,PRESCOTT AND RUSSELL,upper
59000,RAINY RIVER,upper
47000,RENFREW,upper
43000,SIMCOE,upper
52000,SUDBURY,upper
58000,THUNDER BAY,upper
54000,TIMISKAMING,upper
30000,WATERLOO,upper
23000,WELLINGTON,upper
19000,YORK,upper
